department,create_time,biz_name,level,stability_scan,scan_timeliness,stability_clean,cleaning_timeliness,stability_convert,conversion_timeliness,stability_warehouse,warehousing_timeliness,stability_check,inspection_timeliness,accuracy_sample_field,consistency_file_record,completeness_file_field,uniqueness_primary_key,normativity_field_format,statistic_cycle,statistic_week_month,metric_trend_id
-,20250727,-,P3,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932656
-,20250727,一经,P0,100%,57%,100%,48%,100%,46%,100%,50%,100%,52%,100%,100%,100%,100%,100%,1,20250727,1753962932657
-,20250727,大音,P0,100%,16%,100%,33%,100%,33%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932658
-,20250727,掌经,P0,100%,48%,100%,51%,100%,58%,100%,62%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753962932659
业务室,20250727,-,P5,100%,0%,100%,7%,100%,7%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932660
业务室,20250727,一经,P0,100%,10%,100%,10%,100%,30%,100%,10%,100%,10%,100%,100%,100%,100%,100%,1,20250727,1753962932661
业务室,20250727,掌经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932662
业务管理室,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932663
业务管理室,20250727,一经,P0,100%,0%,100%,100%,100%,100%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932664
云计算和客户响应中心,20250727,-,P5,100%,50%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753962932665
云计算和客户响应中心,20250727,一经,P0,100%,33%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753962932666
云计算和客户响应中心,20250727,掌经,P0,100%,0%,100%,0%,100%,50%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932667
产品研发中心,20250727,-,P5,100%,14%,100%,14%,100%,14%,100%,14%,100%,14%,100%,100%,100%,100%,100%,1,20250727,1753962932668
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932669
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932670
信息系统部,20250727,一经,P0,100%,41%,98%,44%,100%,33%,100%,38%,100%,40%,100%,100%,100%,100%,100%,1,20250727,1753962932671
信息系统部,20250727,掌经,P0,100%,36%,97%,30%,100%,24%,97%,30%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753962932672
内审部,20250727,-,P5,100%,58%,100%,58%,100%,32%,100%,57%,100%,57%,100%,100%,100%,100%,100%,1,20250727,1753962932673
内审部,20250727,一经,P0,100%,54%,100%,54%,100%,45%,100%,63%,100%,54%,100%,100%,100%,100%,100%,1,20250727,1753962932674
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932675
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932676
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932677
客户运营中心,20250727,-,P5,100%,59%,100%,54%,100%,35%,100%,55%,100%,57%,100%,100%,100%,100%,100%,1,20250727,1753962932678
客户运营中心,20250727,一经,P0,100%,18%,100%,28%,100%,28%,100%,21%,100%,25%,100%,100%,100%,100%,100%,1,20250727,1753962932679
客户运营中心,20250727,掌经,P0,100%,16%,100%,33%,100%,50%,100%,25%,100%,25%,100%,100%,100%,100%,100%,1,20250727,1753962932680
客户运营中心-政企运营室,20250727,-,P5,100%,72%,100%,72%,100%,81%,100%,72%,100%,72%,100%,100%,100%,100%,100%,1,20250727,1753962932681
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932682
市场部,20250727,-,P5,100%,64%,100%,70%,100%,64%,100%,73%,100%,73%,100%,100%,100%,100%,100%,1,20250727,1753962932683
市场部,20250727,一经,P0,100%,53%,100%,44%,100%,39%,100%,43%,100%,37%,100%,100%,100%,100%,100%,1,20250727,1753962932684
市场部,20250727,大音,P0,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932685
市场部,20250727,掌经,P0,100%,33%,100%,60%,100%,46%,100%,60%,100%,60%,100%,100%,100%,100%,100%,1,20250727,1753962932686
政企客户中心,20250727,一经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932687
政企客户部,20250727,-,P5,100%,21%,99%,21%,100%,18%,100%,24%,100%,27%,100%,100%,100%,100%,100%,1,20250727,1753962932688
政企客户部,20250727,一经,P0,100%,61%,98%,48%,100%,45%,100%,46%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932689
政企客户部,20250727,掌经,P0,100%,47%,97%,50%,100%,52%,100%,50%,100%,69%,100%,100%,100%,100%,100%,1,20250727,1753962932690
服务管理部,20250727,-,P5,100%,53%,100%,50%,100%,48%,99%,51%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932691
服务管理部,20250727,一经,P0,100%,41%,100%,36%,100%,29%,100%,34%,100%,34%,100%,100%,100%,100%,100%,1,20250727,1753962932692
服务管理部,20250727,大音,P0,100%,20%,100%,20%,100%,20%,100%,20%,100%,20%,100%,100%,100%,100%,100%,1,20250727,1753962932693
服务管理部,20250727,掌经,P0,100%,42%,100%,42%,100%,42%,100%,28%,100%,28%,100%,100%,100%,100%,100%,1,20250727,1753962932694
江门分公司,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932695
渠道中心,20250727,一经,P0,100%,0%,100%,16%,100%,0%,100%,16%,100%,25%,100%,100%,100%,100%,100%,1,20250727,1753962932696
渠道中心,20250727,掌经,P0,100%,0%,100%,33%,100%,0%,100%,33%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932697
渠道运营中心,20250727,-,P5,100%,46%,100%,50%,100%,30%,100%,53%,100%,53%,100%,100%,100%,100%,100%,1,20250727,1753962932698
渠道运营中心,20250727,一经,P0,100%,57%,100%,54%,100%,43%,100%,53%,100%,54%,100%,100%,100%,100%,100%,1,20250727,1753962932699
渠道运营中心,20250727,掌经,P0,100%,9%,100%,54%,100%,54%,100%,57%,100%,57%,100%,100%,100%,100%,100%,1,20250727,1753962932700
网格和渠道运营中心,20250727,-,P5,100%,53%,100%,55%,100%,45%,100%,56%,100%,57%,100%,100%,100%,100%,100%,1,20250727,1753962932701
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932702
网络管理中心,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753962932703
网络管理中心,20250727,一经,P0,100%,50%,100%,75%,100%,75%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932704
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753962932705
网络部,20250727,-,P5,100%,90%,100%,90%,100%,0%,100%,90%,100%,90%,100%,100%,100%,100%,100%,1,20250727,1753962932706
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932707
财务部,20250727,-,P5,100%,86%,100%,84%,100%,60%,100%,85%,100%,85%,100%,100%,100%,100%,100%,1,20250727,1753962932708
财务部,20250727,一经,P0,100%,85%,100%,89%,100%,64%,100%,85%,100%,85%,100%,100%,100%,100%,100%,1,20250727,1753962932709
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932710
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753962932711
集团客户部,20250727,一经,P0,100%,71%,100%,57%,100%,46%,100%,58%,100%,63%,100%,100%,100%,100%,100%,1,20250727,1753962932712
集团客户部,20250727,掌经,P0,100%,66%,100%,66%,100%,66%,100%,66%,100%,83%,100%,100%,100%,100%,100%,1,20250727,1753962932713
-,20250727,-,P3,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932714
-,20250727,一经,P0,100%,81%,100%,60%,100%,53%,100%,57%,100%,59%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932715
-,20250727,大音,P0,100%,16%,100%,33%,100%,33%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932716
-,20250727,掌经,P0,100%,91%,100%,81%,100%,77%,100%,81%,100%,82%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932717
业务室,20250727,-,P5,100%,28%,100%,21%,100%,0%,100%,0%,100%,21%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932718
业务室,20250727,一经,P0,100%,60%,100%,60%,100%,50%,100%,20%,100%,20%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932719
业务室,20250727,掌经,P0,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932720
业务管理室,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932721
业务管理室,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932722
云计算和客户响应中心,20250727,-,P5,100%,66%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932723
云计算和客户响应中心,20250727,一经,P0,100%,33%,100%,33%,100%,33%,100%,33%,100%,33%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932724
云计算和客户响应中心,20250727,掌经,P0,100%,0%,100%,0%,100%,50%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932725
产品研发中心,20250727,-,P5,100%,89%,100%,88%,100%,50%,100%,20%,100%,20%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932726
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932727
信息系统部,20250727,-,P3,100%,66%,100%,66%,100%,0%,100%,0%,100%,16%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932728
信息系统部,20250727,一经,P0,100%,56%,100%,50%,100%,37%,100%,42%,100%,43%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932729
信息系统部,20250727,掌经,P0,100%,57%,100%,39%,100%,39%,100%,51%,100%,51%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932730
内审部,20250727,-,P5,100%,58%,100%,58%,100%,32%,100%,56%,100%,55%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932731
内审部,20250727,一经,P0,100%,72%,100%,72%,100%,54%,100%,72%,100%,54%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932732
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932733
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932734
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932735
客户运营中心,20250727,-,P5,100%,63%,100%,60%,100%,34%,100%,48%,100%,46%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932736
客户运营中心,20250727,一经,P0,100%,46%,100%,43%,100%,46%,100%,37%,100%,37%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932737
客户运营中心,20250727,掌经,P0,100%,33%,100%,33%,100%,58%,100%,25%,100%,25%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932738
客户运营中心-政企运营室,20250727,-,P5,100%,63%,100%,54%,100%,54%,100%,54%,100%,54%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932739
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932740
市场部,20250727,-,P5,100%,74%,100%,65%,100%,60%,100%,67%,100%,68%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932741
市场部,20250727,一经,P0,100%,72%,100%,48%,100%,36%,100%,43%,100%,46%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932742
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932743
市场部,20250727,掌经,P0,100%,86%,100%,80%,100%,53%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932744
政企客户中心,20250727,一经,P0,100%,60%,100%,20%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932745
政企客户部,20250727,-,P5,100%,81%,100%,50%,100%,43%,100%,46%,100%,45%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932746
政企客户部,20250727,一经,P0,100%,89%,99%,65%,100%,57%,100%,59%,100%,59%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932747
政企客户部,20250727,掌经,P0,100%,92%,95%,84%,100%,81%,100%,73%,100%,83%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932748
服务管理部,20250727,-,P5,100%,48%,100%,48%,100%,45%,97%,48%,100%,43%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932749
服务管理部,20250727,一经,P0,100%,43%,100%,36%,100%,29%,100%,39%,100%,39%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932750
服务管理部,20250727,大音,P0,100%,40%,100%,40%,100%,40%,100%,40%,100%,40%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932751
服务管理部,20250727,掌经,P0,100%,57%,100%,57%,100%,57%,100%,57%,100%,57%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932752
江门分公司,20250727,-,P5,100%,100%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932753
渠道中心,20250727,一经,P0,100%,16%,100%,16%,100%,0%,100%,16%,100%,33%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932754
渠道中心,20250727,掌经,P0,100%,33%,100%,33%,100%,0%,100%,33%,100%,66%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932755
渠道运营中心,20250727,-,P5,100%,51%,100%,53%,100%,30%,100%,39%,100%,37%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932756
渠道运营中心,20250727,一经,P0,100%,84%,100%,65%,100%,50%,100%,62%,100%,64%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932757
渠道运营中心,20250727,掌经,P0,100%,87%,100%,87%,100%,75%,100%,84%,100%,87%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932758
网格和渠道运营中心,20250727,-,P5,100%,58%,100%,57%,100%,43%,100%,52%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932759
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932760
网络管理中心,20250727,-,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932761
网络管理中心,20250727,一经,P0,100%,50%,100%,50%,100%,75%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932762
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,50%,100%,50%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932763
网络部,20250727,-,P5,100%,90%,100%,90%,100%,0%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932764
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932765
财务部,20250727,-,P5,100%,92%,100%,89%,100%,65%,100%,89%,100%,78%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932766
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,89%,100%,89%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932767
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932768
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932769
集团客户部,20250727,一经,P0,100%,89%,100%,61%,100%,48%,100%,61%,100%,65%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932770
集团客户部,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250721-20250727,1753962932771
-,20250727,-,P3,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932772
-,20250727,一经,P0,100%,98%,100%,77%,100%,70%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932773
-,20250727,大音,P0,100%,100%,100%,66%,100%,66%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932774
-,20250727,掌经,P0,100%,100%,100%,88%,100%,85%,100%,94%,100%,93%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932775
业务室,20250727,-,P5,100%,100%,100%,100%,100%,35%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932776
业务室,20250727,一经,P0,100%,100%,100%,100%,100%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932777
业务室,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932778
业务管理室,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932779
业务管理室,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932780
云计算和客户响应中心,20250727,-,P5,100%,100%,100%,66%,100%,66%,100%,66%,100%,66%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932781
云计算和客户响应中心,20250727,一经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932782
云计算和客户响应中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932783
产品研发中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932784
产品研发中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932785
信息系统部,20250727,-,P3,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932786
信息系统部,20250727,一经,P0,100%,98%,100%,91%,100%,68%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932787
信息系统部,20250727,掌经,P0,100%,100%,100%,81%,100%,75%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932788
内审部,20250727,-,P5,100%,100%,100%,100%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932789
内审部,20250727,一经,P0,100%,100%,100%,90%,100%,72%,100%,90%,100%,90%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932790
客户响应中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932791
客户服务中心,20250727,一经,P0,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932792
客户服务部,20250727,-,P3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932793
客户运营中心,20250727,-,P5,100%,100%,100%,99%,100%,74%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932794
客户运营中心,20250727,一经,P0,100%,100%,100%,81%,100%,71%,100%,81%,100%,81%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932795
客户运营中心,20250727,掌经,P0,100%,100%,100%,83%,100%,83%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932796
客户运营中心-政企运营室,20250727,-,P5,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932797
家庭中心,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932798
市场部,20250727,-,P5,100%,99%,100%,95%,100%,87%,100%,97%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932799
市场部,20250727,一经,P0,100%,100%,100%,75%,100%,63%,100%,75%,100%,75%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932800
市场部,20250727,大音,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932801
市场部,20250727,掌经,P0,100%,100%,100%,93%,100%,66%,100%,93%,100%,93%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932802
政企客户中心,20250727,一经,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932803
政企客户部,20250727,-,P5,100%,100%,100%,74%,100%,69%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932804
政企客户部,20250727,一经,P0,100%,99%,100%,78%,100%,73%,100%,80%,100%,79%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932805
政企客户部,20250727,掌经,P0,100%,100%,100%,98%,100%,98%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932806
服务管理部,20250727,-,P5,100%,100%,100%,100%,100%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932807
服务管理部,20250727,一经,P0,100%,97%,100%,73%,100%,58%,100%,78%,100%,78%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932808
服务管理部,20250727,大音,P0,100%,100%,100%,80%,100%,80%,100%,80%,100%,80%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932809
服务管理部,20250727,掌经,P0,100%,100%,100%,85%,100%,85%,100%,85%,100%,85%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932810
江门分公司,20250727,-,P5,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932811
渠道中心,20250727,一经,P0,100%,100%,100%,83%,100%,33%,100%,83%,100%,83%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932812
渠道中心,20250727,掌经,P0,100%,100%,100%,100%,100%,66%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932813
渠道运营中心,20250727,-,P5,100%,100%,100%,96%,100%,71%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932814
渠道运营中心,20250727,一经,P0,100%,99%,100%,87%,100%,64%,100%,85%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932815
渠道运营中心,20250727,掌经,P0,100%,100%,100%,100%,100%,84%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932816
网格和渠道运营中心,20250727,-,P5,100%,100%,100%,99%,100%,87%,100%,100%,100%,99%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932817
网格和渠道运营中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932818
网络管理中心,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932819
网络管理中心,20250727,一经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932820
网络管理中心,20250727,掌经,P0,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932821
网络部,20250727,-,P5,100%,100%,100%,100%,100%,9%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932822
计划建设部,20250727,-,P5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932823
财务部,20250727,-,P5,100%,100%,100%,97%,100%,73%,100%,98%,100%,98%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932824
财务部,20250727,一经,P0,100%,100%,100%,96%,100%,71%,100%,96%,100%,96%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932825
财务部,20250727,掌经,P1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932826
集团客户部,20250727,-,P4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932827
集团客户部,20250727,一经,P0,100%,98%,100%,80%,100%,61%,100%,81%,100%,86%,100%,100%,100%,100%,100%,2,20250714-20250720,1753962932828
